instrument,collection,technique,dynamic,midi,note,register,metric,value,ci_low,ci_high,rel_uncertainty,source_file
Violin,_15_,ordinario,fortissimo,75,D#5,Very high,EWSD_score_acoustic_balanced,16.4333743163791,8.49426023361575,24.71155213912918,0.2625636399033675,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,76,E5,Very high,EWSD_score_acoustic_balanced,18.20733298047044,7.895256604913642,24.19338148589873,0.2363321389163324,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,77,F5,Very high,EWSD_score_acoustic_balanced,17.19431431318799,8.71647912140168,24.54086658216318,0.245516498980421,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,78,F#5,Very high,EWSD_score_acoustic_balanced,14.99948602257384,7.668730116318391,24.50154245389004,0.2842886523754444,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,79,G5,Very high,EWSD_score_acoustic_balanced,15.84449889230572,8.409205635002383,24.94933583540577,0.2728493989676842,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,80,G#5,Very high,EWSD_score_acoustic_balanced,14.73172716840333,8.161551840550596,22.90357611192438,0.2660226976228319,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,81,A5,Very high,EWSD_score_acoustic_balanced,11.32275145516409,7.402292639484139,17.54193269386745,0.2435330589751654,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,82,A#5,Very high,EWSD_score_acoustic_balanced,11.33053368071525,5.90194838255567,19.45107048673098,0.3191358516179176,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,83,B5,Very high,EWSD_score_acoustic_balanced,8.895586889776853,5.111280623250124,15.75530877460919,0.3097047814729778,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,84,C6,Very high,EWSD_score_acoustic_balanced,7.742571919878898,4.162085415973245,13.79659887671594,0.3607962337844642,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
